"score","categoria","marca","id_a","nome_a","lojas_a","preco_a","ean_a","gtin_a","mpn_a","id_b","nome_b","lojas_b","preco_b","ean_b","gtin_b","mpn_b","acao_manual","notas"
"1.00","raquetes","Bullpadel","20","Raquete Bullpadel Vertex 05","Zona de Padel | Padel Proshop PT | Atmosfera Sport | Deporvillage","208.96","8445402973996","8445402973996","VERTEX0526","2874","Raquete de padel Bullpadel Vertex 04 24","Smash Expert","199","8445402483761","","BV22000000","",""
"1.00","raquetes","Bullpadel","22","Raquete Bullpadel Vertex 05 W","Padel Proshop PT | Zona de Padel | Atmosfera Sport | Deporvillage","184.95","8445402974061","8445402974061","VERTEX05W26","2874","Raquete de padel Bullpadel Vertex 04 24","Smash Expert","199","8445402483761","","BV22000000","",""
"1.00","raquetes","Bullpadel","2052","Bullpadel discover pwr raquete de padel","Forum Sport ES | Zona de Padel","52.64","8445402833368","8445402833368","476580","2619","Raquete de padel Bullpadel Discover PWR","Decathlon ES","48.49","8445402833368","","9067022","",""
"1.00","raquetes","Bullpadel","2595","Raquete de padel Vertex 05 26","Atmosfera Sport | Decathlon ES","211.49","8447552008337","8445402789184","9002588","2874","Raquete de padel Bullpadel Vertex 04 24","Smash Expert","199","8445402483761","","BV22000000","",""
"1.00","raquetes","Bullpadel","2599","Raquete de padel - Bullpadel Vertex 05 M 26","Decathlon ES","249.99","8447552008351","","9002602","2874","Raquete de padel Bullpadel Vertex 04 24","Smash Expert","199","8445402483761","","BV22000000","",""
"1.00","raquetes","StarVie","1948","Starvie icarus 21 raquete de padel","Forum Sport ES","83.99","","8454000000553","ICARUS21","2604","Raquete de padel STARVIE ICARUS 22","Decathlon ES","124.99","8454000000553","","8778515","",""
"1.00","sacos","Head","1369","Head Padel Pro Racket Bag","Padel Proshop PT | Padel Market","7.95","0724794596289","724794596289","288075","2977","Bolsa de padel Head Pro X","Smash Expert","100","726423346456","","260045","",""
"1.00","sapatilhas","Bullpadel","2097","Bullpadel pearl vibram 26v sapatilhas Padel Mujer","Forum Sport ES","100.97","","8445402956531","493630","2678","Sapatilhas de padel para mujer Bullpadel Pearl Vibram 26V","Smash Expert | Sport is Good","110","8445402956517","","DC99011000","",""
"1.00","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","2912","Sapatilhas de padel para mujer Asics Gel-Challenger 14","Smash Expert","69.46","4550456668867","","1042A232 - 100","",""
"1.00","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","2957","Sapatilhas de padel para mujer Asics Gel-Challenger 14","Smash Expert","112","4570158188111","","1042A232 - 500","",""
"1.00","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","3030","Sapatilhas de padel para mujer Asics Gel-Challenger 15","Smash Expert","120","4570158838979","","1042A296 - 100","",""
"1.00","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","3031","Sapatilhas de padel para mujer Asics Gel-Challenger 15","Smash Expert","102","4570158842693","","1042A296 - 400","",""
"1.00","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","3139","Sapatilhas de padel para mujer Asics Gel-Challenger 15","Smash Expert","84.45","4571633432743","","1042A296 - 700","",""
"1.00","sapatilhas","ASICS","1980","Asics gel-challenger 14 padel sapatilhas Padel Mujer","Forum Sport ES","74.75","","4550457146555","1042A232","3140","Sapatilhas de padel para mujer Asics Gel-Challenger 15","Smash Expert","84.45","4571633445699","","1042A296 - 101","",""
